序号,单词,释义
1039,consideration,n.考虑思考体贴考虑因素敬重意见
1040,consist,vi.由...组成存在一致在于n.组成
1041,consistent,adj.坚持的一贯的始终如一的一致的
1042,consolidate,vt.巩固 vi.合并
1043,conspicuous,"a. 显著的,显眼的,出众的"
1044,constant,adj.经常的永恒的不变的n.常数恒量
1045,constituent,a.形成的 n.选民
1046,constitution,n.章程体质构造组织宪法体格
1047,constrain,"vt. 强迫,勉强,驱使"
1048,construct,vt.建造建设构筑绘制想出n.构想建造物
1049,construction,n.建造建设建筑建筑物结构构造
1050,consult,vt.向...请教查阅商讨
1051,consultant,"n. 顾问,商议者"
1052,consume,vt.消耗消费消灭毁灭吃、喝、挥霍vi.耗尽生命被烧毁
1053,consumer,n.消费者，用户
1054,consumption,n.消耗量消耗消费
1055,contact,vt.使接触与...联系n.接触联系联系人adj.接触的
1056,contain,vt.包含容纳等于克制抑制vi.自制
1057,container,n.容器集装箱
1058,contaminate,"vt. 弄脏,毒害,传染"
1059,contemplate,"vt. 注视,沉思,打算 vi. 冥思苦想"
1060,contemporary,adj.当代的同时代的同时的现代的n.同时代的人
1061,contempt,n.轻蔑；藐视
1062,contend,vi.竞争 vt.坚决主张
1063,content,n.内容目录容量adj.满足的满意的vt.使...满足使...安心
1064,contest,vt.争夺争取辩驳竞赛vi.奋斗n.竞赛比赛
1065,context,n.上下文；来龙去脉
1066,continent,n.大陆陆地洲(the Continent)欧洲大陆
1067,continual,adj.不断的连续的频繁的
1068,continue,vt. &vi.继续连续维持延伸
1069,continuous,adj.连续不断的连续的继续的连绵不断的持续的
1070,contract,n.契约合同书合同婚约v.缩短缩小vt.订约
1071,contradict,vt.反驳，否认
1072,contradiction,n.矛盾不一致否认反驳 
1073,contrary,adj.相反的截然不同的n.相反反面adv.相反(地)
1074,contrast,n.对比对照悬殊差别v.对比成对照
1075,contribute,vt.捐献捐助投稿vi.投稿贡献是原因之一
1076,contribution,"n. 捐助,捐助之物,贡献"
1077,contrive,"vt.vi. 发明,设计,图谋"
1078,control,vt.控制克制掌管支配n.克制控制管制操作装置
1079,controversial,"a.争论的,有争议的，被议论的"
1080,controversy,n.争论，辩论，争吵
1081,convenience,n.便利方便便利设施厕所适宜方便的时间舒适
1082,convenient,adj.便利的近便的方便的
1083,convention,n.习俗惯例公约大会协定
1084,conventional,adj.普通的习惯的传统的惯例的常规的
1085,converge,"vi. 聚合,集中于一点"
1086,conversation,n.会话谈话非正式会谈
1087,conversely,adv.相反地
1088,conversion,n.转变转化改变改变信仰换位
1089,convert,vt.使转变使改变倒置n.皈依者改宗者
1090,convey,vt.传送运送传播转移
1091,convict,"n.囚犯,罪犯vt.宣告有罪"
1092,conviction,n.确信，信服，深信
1093,convince,vt.使确信使信服说服使...相信
1094,cook,vt.烹调煮编造虚构烧(菜)vi.烧菜发生做好n.厨师烧菜
1095,cool,adj.凉的冷静的冷色系的adv.冷静地n.凉快vt. &vi.(使)变凉(使)冷静
1096,cooperate,vi.合作协作配合
1097,cooperative,a.合作的 n.合作社
1098,coordinate,vt.使协调调节整合使一致[计算机]坐标n. 同等的人物(色调图案样式等)配套服装adj. 同等的等位的(大学)男女分院制的
1099,cope,vi.对付应付对抗n.长袍斗篷状物vt.笼罩
1100,copper,n.铜铜币铜制器有紫铜色翅膀的小蝴蝶警官vt.镀铜
1101,copy,n.抄件副本模仿一册稿件vt.抄写抄袭复制复印vi.复制抄写n.
1102,cord,n.细绳粗线索束缚vt.用绳索绑
1103,cordial,adj.真诚的诚恳的热忱的兴奋的n.兴奋剂补品
1104,core,n.果实的心核心要点vt.挖去果核
1105,corn,n.谷物谷粒陈词滥调鸡眼(英)小麦vt.使成颗粒状用盐水腌制用谷物喂vi.变成颗粒
1106,corner,.n 角角落转角窘境犄角边远地区偏僻住所[计算机]角点vt. 使...走投无路使...陷入绝境垄断转弯adj.位于角落
1107,corporate,n. 组织
1108,corporation,n.公司法人集团企业社团
1109,corps,"n. 军团,队,团,兵种"
1110,correct,adj.正确的vt. &vi.改正纠正
1111,correction,n.改正纠正修改改正的地方
1112,correlate,n.互相关联的事物
1113,correspond,vi.相符合相当通信
1114,correspondence,n.通信；符合；对应
1115,correspondent,n.通信者通讯记者通讯员adj.与...一致的相应的
1116,corresponding,adj.相应的符合的一致的相同的相当的
1117,corridor,n.走廊回廊通路
1118,corrode,"vt.vi 腐蚀,侵蚀,破坏"
1119,corrupt,vt.贿赂 a.腐败的
1120,cosmic,a.宇宙的；广大无边的
1121,cost,n.价格代价成本费用vt.花费使付出vi.值付出
1122,costly,adj.昂贵的价值高的代价高的
1123,costume,"n. 装束,服装"
1124,cottage,n.村舍小屋
1125,cotton,n.棉棉花棉线棉布vi.向…讨好明白领悟
1126,couch,n.睡椅，长沙发椅
1127,cough,vt. &vi.咳咳嗽n.咳嗽
1128,could,aux.v.(can的过去式)
1129,council,n.理事会委员会商议
1130,counsel,n.商议；忠告；律师
1131,count,vt.计算视为依赖vi.数计数n.计数
1132,counter,n.柜台计数器计算者计数器adj.相反的adv.与…相反地vt.反对反击vi.反对反击
1133,counterpart,"n.副,复本,配对物,相应物"
1134,country,n.国家国土农村adj.国家(的)农村(的)
1135,countryside,n.乡下农村
1136,county,n.英国的郡美国的县
1137,couple,n.夫妇(一)对几个数个v.加倍成双连结
1138,courage,n.勇气胆量胆识
1139,course,n.课程讲座过程路线一道菜
1140,court,n.法院法庭庭院奉承球场v.献殷勤追求招致危险
1141,courtesy,n.礼貌，谦恭，请安
1142,cousin,n.堂(或表)兄弟(姐妹)
1143,cover,vt.盖覆盖包括涉及包含n.盖子封面表面
1144,cow,n.母牛奶牛母兽
1145,coward,n.懦夫胆怯者adj.胆小的
1146,crack,n.裂缝裂纹声变vi.爆裂破裂声变打开
1147,cradle,n.摇篮，发源地
1148,craft,n.工艺手艺行业航空器
1149,crane,n.起重机摄影升降机鹤v.引颈伸长(脖子)vt.伸长(脖子等)
1150,crash,vi.碰撞坠落猛使...破碎迫降n.碰撞猛撞轰隆声崩溃破产垮台
1151,crawl,vi.爬爬行n.爬行匍匐而行
1152,crazy,adj.疯狂的荒唐的
1153,cream,n.奶油乳酪乳脂奶油色面霜精华
1154,create,vt.创造引起产生
1155,creation,"n. 创造,创作物,发明"
1156,creative,adj.创造性的创作的
1157,creature,n.生物动物家畜人 
1158,credit,n.信用贷款信用荣誉学分v.归功于赞颂信任
1159,creep,vi.爬行缓慢地行进蔓延n.爬徐行蠕动
1160,crew,n.全体船员全体乘务员vi.一起工作
1161,cricket,n.板球蟋蟀vi.打板球
1162,crime,n.罪罪行犯罪羞耻
1163,criminal,n.犯人罪犯刑事犯adj.犯罪的刑事的无耻的
1164,cripple,n.跛子残废的人v.使...跛使...成残废削弱
1165,crisis,n.危机存亡之际
1166,crisp,a.脆的；卷曲的
1167,criterion,n.标准，准则，尺度
1168,critic,n.批评家评论家爱挑剔的人
1169,critical,adj.决定性的批评的危险的挑剔的临界的
1170,criticism,n.批评批判评论
1171,criticize,vt.批评评论非难吹毛求疵vi.批评
1172,crop,n.农作物庄稼收成一熟一群平头vt.割掉修剪剪短收割使谷物生长vi.啃青草种植谷物
1173,cross,vt.穿过划叉剔除画横线于vi.穿越prep.穿过n.十字架十字架形物件交叉交叉路adj.生气的交叉的
1174,crow,n.鸦乌鸦啼叫欢叫vi.啼啼叫报晓欢叫vt.洋洋夸口自鸣得意
1175,crowd,n.群大众一伙人一堆vi.拥挤挤满挤进vt.挤满将...塞进催促
1176,crown,n.王冠冕王权顶点花冠vt.使...成王加冕居...之顶为牙齿镶上假齿冠vi.火迅速烧到树的顶端
1177,crucial,"a. 决定性的,重要的,严厉的"
1178,crude,adj.简陋的天然的未加工的粗鲁的n.原油
1179,cruel,adj.残忍的残酷的引起痛苦的
1180,cruise,vi.巡航 vt.巡航于…
1181,crush,vt.压碎碾碎镇压拥挤的人群迷恋关键时刻果汁榨汁酿酒vt.压破征服挤入镇压vi.被压碎挤
1182,crust,n.面包皮硬外皮外壳坚硬的外壳vt.盖以硬皮vi.结硬皮
1183,cry,vi.哭哭泣叫喊强烈要求vt.大声叫喊宣传哭得...n.叫哭喊口号叫卖声普遍意见
1184,crystal,n.水晶结晶体晶粒adj.清澈透明的晶体的
1185,cube,n.立方体立方vt.求...的立方adj.立方的
1186,cubic,adj.立方体的立方的
1187,cucumber,n.黄瓜
1188,cue,"n. 开端,线索,发辫,长队"
1189,culminate,"vi.到绝顶,达于极点,高潮"
1190,cultivate,vt.耕种植培养栽培结交(朋友)促进增长教养
1191,culture,n.文化文明教养种植vt.培养
1192,cumulative,a. 累积的
1193,cunning,adj.狡猾的狡诈的有眼光的精巧的可爱的n.狡诈灵巧
1194,cup,n.杯子(一)杯奖杯v.(使)成杯形vt.使成杯形
1195,cupboard,n.碗柜碗碟橱食橱
1196,curb,"n. 抑制,勒马绳 vt. 抑制,束缚"
1197,cure,vt.医治消除vt. &vi.治疗治愈改正n.治疗治愈治疗法
1198,curiosity,n.好奇好奇心珍品
1199,curious,adj.好奇的奇特的稀奇古怪的
1200,curl,n.卷毛螺旋vi.卷曲弄卷弯曲
1201,currency,n.通货；通用；市价
1202,current,adj.当前的现在的最近的通用的流通的n.(水、气、电)流趋势
1203,curriculum,n. 课程
1204,curse,n.诅咒咒骂天谴祸端行经vt.咒骂诅咒引起灾祸vi.诅咒
1205,curt,"a. 简略的,简短的,生硬的"
1206,curtain,n.帘窗帘幕(布)遮蔽物vt.用窗帘装饰遮蔽
1207,curve,n.曲线弯弯曲曲球vt.弄弯使...弯曲vi.弯曲
1208,cushion,n.垫子坐垫橡皮软垫缓冲vt.加垫褥放在垫子上保护减缓为...装垫子
1209,custom,n.习惯风俗海关
1210,customary,a.通常的；照惯例的
1211,customer,n.顾客主顾家伙
1212,cut,vt.切割剪减少停止修剪vi.切割快速移动剪掉n.切口割伤降低份额删节割下的一块肉
1213,cycle,n自行车循环周期长期圈套曲vt.环行骑自行车vi.使环行
1214,cylinder,n.圆筒；柱(面)；汽缸
1215,cynical,"a. 愤世嫉俗的,讽刺的,冷嘲的"
1216,daily,adj.每日的按天计算的日常的adv.每日天天n.日报(复)工作样片
1217,dairy,n.牛奶场乳制品乳品店adj.牛奶的
1218,dam,n.水坝水堤障碍物vt.筑坝抑制(情感）等
1219,damage,vt.损害毁坏n.(pl.)赔偿损坏毁坏损害
1220,damn,vt.诅咒 n.诅咒；丝毫
1221,damp,adj.潮湿的有湿气的n.毒气湿气丧气vt.呛抑制使潮湿vi.衰减
1222,dance,vi.跳舞摇晃雀跃vt.使跳跃使某人以跳舞的方式进入n.舞跳舞舞蹈舞会舞步
1223,danger,n.危险危险事物
1224,dangerous,adj.危险的不安全的引起危险的
1225,dare,vt. &vi. &aux.v.敢竟敢敢于勇于面对n.敢挑战
1226,daring,adj.大胆的勇敢的n.冒险精神
1227,dark,adj.暗的黑色的n.黑暗暗处
1228,darling,n.亲爱的人可爱的人可爱的物宠儿adj.可爱的亲爱的
1229,dash,vt.使猛撞猛掷泼溅冲撞匆忙溅vi.猛冲 猛撞n.猛冲冲撞破折号少量短跑冲劲
1230,data,n.(datum的复数)数据资料
1231,date,n.日期约会枣椰子vt.约会定...日期vi.追溯到n.
1232,daughter,n.女儿adj.与女儿有关的女性直系后代的
1233,dawn,n.黎明破晓开端vi.破晓逐渐明白
1234,day,n.(一)天白昼白天
1235,daylight,n.白昼日光黎明
1236,dazzle,vt.&vi.炫耀；迷惑
1237,dead,adj.死的无生命的萧条的精疲力竭的用完的无趣的adv.完全地突然地直接地n.死者死
1238,deadly,adj.致命的致死的死一般的adv.非常地如死一般地
1239,deaf,adj.聋的不愿听的
1240,deal,n.买卖待遇交易协定份量vt.(dealtdealt
1241,dear,adj.严重的珍贵的亲爱的昂贵的衷心的adv.高价地热爱地n.亲爱的人可爱的人int.啊哎呀
1242,death,n.死死亡灭亡死神
1243,debate,n. &vi.争论辩论商讨vt.争论思考
1244,debt,n.债债务欠债负债状态义务罪过失
1245,decade,n.十年十年期
1246,decay,vi.腐烂衰败n.腐烂衰退
1247,deceit,n.欺骗欺诈诡计不诚实
1248,deceive,vt.欺骗蒙蔽行骗vi.行骗
1249,December,n.十二月
1250,decent,a.正派的；体面的
1251,decide,vt. &vi.决定决心解决作出抉择
1252,decimal,a.小数的，十进制的
1253,decision,n.决定决心果断决策
1254,decisive,a.决定性的；果断的
1255,deck,n.甲板舱面层面桥面楼层vt.装饰
1256,declaration,n.宣布，宣言；申诉
1257,declare,vt. &vi.断言声明表明宣布申报
1258,decline,vt.下倾；偏斜；衰退
1259,decorate,vt.装饰装璜修饰授予某人奖章或其他奖状
1260,decrease,vi. &n.减少减少
1261,dedicate,vt.奉献；献身
1262,deduce,vt.演绎推论推断溯源
1263,deed,n.行为事迹功绩(尤指房产)契约证书vt.通过行为转化
1264,deem,vt.认为，相信 vi.想
1265,deep,adj.深的有...深的深奥的纵深的adv.深深地晚地n.深处
1266,deepen,vt.加深使...加深使...强烈vi.深化加深变浓
1267,deer,n.鹿
1268,defeat,vt.战胜击败挫败n.败北失败
1269,defect,n.缺点缺陷欠缺vi.背叛
1270,defence,n.防御防务辩护答辩
1271,defend,vt. &vi.防护辩护防卫保卫防守
1272,deficiency,n.缺乏；不足之数
1273,deficit,"n. 赤字,不足额"
1274,define,vt.给...下定义限定解释
1275,definite,adj.明确的肯定的一定的
1276,definitely,adv.一定地明确地确切地
1277,definition,n.定义释义定界阐释清晰度
1278,defy,vt.向…挑战；蔑视
1279,degenerate,"a.堕落的 vi.vt.(使)变质,(使)退化"
1280,degrade,vt.使降给；使堕落
1281,degree,n.程度度度数学位
1282,delay,vt.推迟耽搁延误vi.耽搁n.耽搁迟滞
1283,delegate,n.代表，委员，特派员
1284,delegation,n.代表团委派
1285,delete,vt.删除擦掉
1286,deliberate,a.深思熟虑的；审慎的
1287,delicate,adj.纤细的易碎的精美的微妙的美味的脆弱的敏锐的n.精美的东西
1288,delicious,adj.美味的可口的怡人的
1289,delight,n.快乐快乐vt.使高兴vi.给与乐趣
1290,deliver,vt.投递递送送交发表表达释放交付接生履行vi.达成
1291,delivery,n.投递交付分娩
1292,delt,
1293,demand,vt.要求需要询问n.要求需求
1294,democracy,n.民主民主制民主国家
1295,democratic,adj.民主的民主政体的大众的平等的
1296,demonstrate,vt.说明论证证明表露示范演示vi.示威
1297,denial,n.否定；拒绝相信
1298,denote,vt.指示，意味着
1299,denounce,vt.谴责，声讨；告发
1300,dense,adj.密集的浓厚的愚钝的不易看透的
1301,density,n.密集稠密密度透明度
1302,dentist,n.牙科医生
1303,deny,vt.否定拒绝相信拒绝反对克制
1304,depart,vi.离开起程出发死亡脱轨vt.离开
1305,department,n.部司局处系部门省
1306,departure,n.离开出发起程分歧
1307,depend,vi.依靠依赖相信指望
1308,dependent,adj.依靠的依赖的附属的悬垂的n.受经济援助者
1309,depict,"vt. 描述,描写"
1310,deposit,vt.使沉淀存放堆积vi.沉淀n.存款定金堆积物
1311,depress,vt.使沮丧按下降低
1312,depression,n.消沉；不景气萧条期
1313,deprive,vt.夺去；使(人)失去
1314,depth,n.深度深厚深处强度诚挚
1315,depute,"vt. 指定代理人,委任"
1316,derive,vt.取得得自起源引申于vi.起源
1317,descend,vt. &vi.降传降临下来下降下倾
1318,descendant,n.子孙，后裔；弟子
1319,descent,n.下降；出身；斜坡
1320,describe,vt.形容描写描绘描述画(尤指几何图形)
1321,description,n.描写描述说明书作图形容种类
1322,desert,n.沙漠荒地应得(的惩罚或奖励)vt.离弃擅离遗弃vi.擅离职守adj.沙漠的荒凉的
1323,deserve,vt.应受值得vi.应该得到
1324,design,vt.设计想像计划vi.计划设计n.设计 图样
1325,designate,vt.指出，指示；指定
1326,desirable,adj.值得相望的可取的值得有的令人满意的有吸引力的n.有吸引力的人
1327,desire,vt.要求向往请求渴望n.愿望欲望情欲
1328,desk,n.书桌办公桌
1329,despair,n.绝望失望vi.绝望失望
1330,despatch,vt.vi.n. 派遣
1331,desperate,adj.拼死的绝望的不顾一切的极想得到的
1332,despise,vt.鄙视，蔑视
1333,despite,prep.不管尽管不顾v.憎恨轻视
1334,destination,n.目的地终点目标景点
1335,destined,"a. (由神、命运) 预定的,注定的"
1336,destiny,"n. 命运,定数"
1337,destroy,vt. &vi.破坏消灭打破
1338,destruction,n.破坏毁灭消灭破坏者
1339,destructive,a.破坏(性)的，危害的
1340,detach,vt.分开；派遣(军队)
1341,detail,n.细节详情部分分派枝节零件vt.详述选派用小元素装饰vi.画细节
1342,detect,vt.察觉发觉侦察发现探测信息vi.当侦探
1343,detection,n.察觉发觉侦察探测
1344,detective,n.侦探，密探
1345,deteriorate,vt.vi. (使)恶化
1346,determination,n.决心(正式)决定确定规定测定定位
1347,determine,vt.决定查明决心
1348,develop,vt.发展形成开发冲洗照片vi.进步
1349,development,n.发展开发生长显影开发区
1350,deviate,vt.(使)背离，偏离
1351,device,n.器械装置设备设计策略
1352,devil,n.魔鬼恶魔坏人难对付的东西困难小尘暴vt.加料惹恼
1353,devise,vt.设计发明遗赠n.遗赠(的财产)
1354,devote,vt.将...奉献致力于投入于献身
1355,dew,n.露露水
1356,diagnose,vt.诊断(疾病)
1357,diagram,n.图解图表简图vt.用图解法表示
1358,dial,n.钟面拨号盘刻度盘针面转盘vt.拨用仪表测量操作仪表vi.拨号用仪表测量
1359,dialect,n.方言土语地方话
1360,dialog,n.对话对白(美)=dialogue
1361,diameter,n.直径
1362,diamond,n.金钢石钻石菱形像钻石的物质纸牌的方块棒球内场vt.用钻石装饰adj.60或75周年纪念的
1363,diary,n.日记日记簿
1364,dictate,vt. &vi.口授命令听写n.命令指挥指令
1365,dictation,n.口授笔录听写
1366,dictionary,n.词典字典辞典
1367,die,vi.死死亡灭亡n.金属模子印模骰子
1368,diet,n.饮食，食物
1369,differ,vi.不同(意见)相异不一致
1370,difference,n.差别差分歧vt.引起区别
1371,different,adj.差异的各种的不同的与众不同的
1372,differentiate,"vt.vi. 区别,区分"
1373,difficult,adj.困难的难对付的(人)难取悦的难相处的
1374,difficulty,n.困难争议反对麻烦难事困境
1375,diffuse,"vt.vi. 散播,传播 a. 散开的,弥漫的"
1376,dig,vt.掘挖翻土采掘
1377,digest,vt.消化领会理解vi.消化n.文摘摘要
1378,digital,adj.数字的计数的手指的数码的电子的
1379,dignity,a.尊贵；(举止)庄严
1380,dilemma,"n. 困境,进退两难的局面"
1381,diligent,adj.勤勉的勤奋的用功的
1382,dilute,"vt. 冲淡,稀释 a. 淡的,稀释的"
1383,dim,adj.昏暗的暗淡的朦胧的模糊的笨的vt.使暗淡使失去光泽vi.变暗n.车头灯的短焦距光
1384,dimension,n.尺寸尺度面积次元容积维度范围方面vt.标尺寸形成...尺寸
1385,diminish,vt.减少，减小，递减
1386,dine,vi.吃饭 vt.宴请
1387,dinner,n.正餐主餐宴会晚宴
1388,dip,vt.浸蘸给...洗药浴vi.浸一浸下降向下倾斜翻阅提取(款项)n.游下降减少低洼处调味酱药浴液
1389,diploma,n.毕业文凭，学位证书
1390,diplomatic,a.外交的；有策略的
1391,direct,adj.直接的直率的笔直的坦白的vt.指挥命令负责vi.指导指出
1392,direction,n.方向方位指导用法说明趋势
1393,directly,adv.直接地立即完全
1394,director,n.指导者理事董事经理主管导演
1395,directory,n.姓名地址录；董事会
1396,dirt,n.尘土污物污垢泥土污秽的言行卑鄙的人堕落矿渣
1397,dirty,adj.脏的下流的肮脏的色情的卑鄙的adv.卑鄙地vt.使...变脏vi.弄脏
1398,disable,vt.使无能，使伤残
1399,disadvantage,n.不利不利地位不利条件损害损失
1400,disagree,vi.有分歧不一致不适应不适宜
1401,disappear,vi.不见失踪消失灭绝vt.引起消失
1402,disappoint,vt. &vi.使失望使受挫折
1403,disaster,n.灾难灾祸天灾
1404,disastrous,a.灾难性的；悲惨的
1405,discard,vt.丢弃抛弃遗弃vi.丢牌n.丢牌废牌
1406,discern,vt.看出，辨出；辨别
1407,discharge,vt. vi.释放排出放出解雇解除放电清偿债务n.释放卸货放电一股一阵开火发射准许离开
1408,discipline,n.纪律训练惩罚学科vt.训练 惩罚
1409,disclose,vt.揭开，揭发；透露
1410,discount,n.折扣；打折扣卖
1411,discourage,vt.使泄气使灰心阻碍
1412,discover,vt. &vi.发现暴露显示
1413,discovery,n.发现被发现的事物
1414,discrepancy,"n. 相差,差异,差别"
1415,discrete,"a. 不连续的, 离散的"
1416,discriminate,vt.vi. 区别对待，歧视
1417,discuss,vt.讨论谈论论述
1418,discussion,n.讨论谈论辩论论述
1419,disease,n.病疾病病害弊端
1420,disguise,vi.隐瞒掩埋vt.假装假扮掩饰n.假装假面目伪装物
1421,disgust,n.厌恶憎恶嫌恶vt. &vi.令人厌恶
1422,dish,n.碟盘子菜肴凹形vt.装盘提出揭露挖空vi.闲谈
1423,dishonour,n.不光彩丢脸的人耻辱拒付vt.使丢脸侮辱拒付=dishonor
1424,disk,n.圆盘唱片磁盘光盘花盘盘形物磁盘vt.用圆盘耙耙地
1425,dislike,vt. &n.不喜爱厌恶反感
1426,dismay,n.惊慌，沮丧，灰心
1427,dismiss,vt.不再考虑解雇解散开除逃避(法律)驳回
1428,disorder,n.混乱杂乱骚乱vt.扰乱
1429,dispatch,vt.派遣；调度 n.急件
1430,disperse,vt.(使)分散；驱散
1431,displace,vt.移置；取代；置换
1432,display,vt.陈列展览显示炫耀vt.显示表现夸示
1433,displease,vt.使不愉快使生气
1434,disposal,n.丢掉处理销毁菜碾碎器
1435,dispose,vi.去掉丢掉销毁vt.倾向于处置
1436,disposition,"n. 性情,处置,处理,布置"
1437,dispute,vi.争论争执vt.争论质疑争夺抵抗n.争论争吵
1438,disregard,vt.不管，不顾 n.不管
1439,disrupt,"a.分裂的,分散的 vt.使分裂,瓦解"
1440,dissatisfy,vi.使不满使不平
1441,dissipate,vt.驱散；浪费vi.消散
1442,dissolve,vt.使溶解解散消除解决(问题)使沮丧vi.消散溶解解散液化变得模糊n.叠化画面
1443,distance,n. 距离间距远处(人际关系的) 疏远vt. 使疏远把(对手) 甩在后面与...保持距离adj.  ( 通过电子手段) 远程( 教育)
1444,distant,adj.在远处的疏远的疏远的远房的陌生的远行的
1445,distil,"v. 蒸馏, 提取....的精华"
1446,distinct,adj.与其他不同的不同的明显的(from)独特的清楚的
1447,distinction,n.差别不同区分对比杰出
1448,distinguish,vt.区别辨别认别特别关注vi.区别
1449,distort,vt.歪曲，曲解，扭曲
1450,distract,vt.分散(心思)；打扰
1451,distress,n.忧虑悲伤不幸苦恼贫困忧郁恶化扣押财物vt.使...苦恼仿造adj.亏本出售的
1452,distribute,vt. &vi.分发分送分布分配
1453,distribution,n.分发分配分布散布
1454,district,n.区地区区域行政区vt.划分区域划分地区
1455,disturb,vt. &vi.打扰扰乱弄乱妨碍使...不安
1456,disturbance,n.动乱；干扰；侵犯
1457,ditch,n.沟沟渠渠道vt.坠入沟中摆脱飞机(在海上)迫降vi.挖一条沟渠飞机紧急降落
1458,dive,vi.跳水潜水俯冲vt.跳水俯冲vi.把...伸入
1459,diverse,adj.不一样的相异的不同的多种多样的
1460,diversion,n.转移；改道；娱乐
1461,divert,vt.使转向 vi.转移
1462,divide,vt.分分配分开(组)vi.除分开
1463,divine,a.神的；敬神的
1464,division,n.分分配除法划分分开部门师(军队)
1465,divorce,n.离婚离异vi.离婚与...办离婚
1466,dizzy,a.头晕眼花的，眩晕的
1467,do,aux.v.vt. &vi.做干办
1468,dock,n.船坞码头(造)修船厂尾巴的骨肉部分被告席vt.进港(减)剪短对接vi.进港对接
1469,doctor,n.医生医师博士vt.医治篡改对...做手脚vi.用药
1470,doctrine,n.教义，主义；学说
1471,document,n.公文文件证件
1472,dog,n.狗犬犬科动物卑鄙的人vt.尾随跟踪
1473,dollar,n.美元(货币单位)
1474,domain,"n. 领域,领土,产业,范围"
1475,dome,n.圆屋顶，拱顶
1476,domestic,adj.本国的国内的家庭的驯养的n.家仆佣人
1477,dominant,a.统治的 n.主因
1478,dominate,vt.统治，支配，控制
1479,donate,vt.vi. 捐赠
1480,donkey,n.驴笨蛋
1481,doom,n.命运，毁灭 vt.注定
1482,door,n.门通道一家
1483,dorm,n.(集体)宿舍
1484,dormitory,n.集体寝室宿舍
1485,dose,n.剂量用量一剂vt.配
1486,dot,n.点圆点少量小东西vt.作小点记号点缀vi.作小点记号
1487,double,adj.两倍的复制品替身双重角色的演员反转双的双人房adj.两倍的双重的骗人的加量的adv.两倍地双人地翻来覆去地对折地vt.使加倍对折握紧做替身vi.加倍转身兼任替代演出
1488,doubt,n.怀疑疑虑不信任vt.怀疑不信任vi.不确定
1489,doubtful,adj.难以预测的怀疑的疑心的不确定的
1490,doubtless,adv.无疑地很可能确定地adj.无疑的确定的
1491,down,adv.向下在下面下跌在南方adj.向下的降低的情绪低落停止运行n.绒毛汗毛轻视prep.沿着...而下
1492,downstairs,adv.在楼下向楼下adj.楼下的n.楼下
1493,downward,adj.向下的adv.向下地
1494,dozen,n.一打十二个adj.一打的十二个的
1495,draft,n.草稿草图汇票徵兵vt.起草征兵选秀adj.酝酿中的
1496,drag,vt.拖拉拖曳拖累拖拉(动)vi.拖拉(动) 缓慢地行走n.用来拖拉的东西拖拖累
1497,dragon,n.龙凶暴的人严厉的人
1498,drain,vt.排去放水耗尽排出排干喝光vi.变干排出排水n.下水道排水沟消耗耗竭
1499,drainage,n.排水；下水道
1500,drama,n.一出戏剧剧本戏剧戏剧性情节刺激
1501,dramatic,adj.引人注目的戏剧的给人深刻印象的n.(pl.)戏剧作品戏曲
1502,dramatization,n.编剧改编成戏剧
1503,drastic,a.激烈的；严厉的
1504,draw,vt.(drewdrawn) 拉拖挨近提取画绘制划拨出n.平局抽签拉拽吸引人的事物
1505,drawback,n.退款；妨碍；弊端
1506,drawer,n.抽屉
1507,drawing,n.图画素描绘图绘图技巧
1508,dread,n.畏惧恐怖可怕的人可怕的事vt.惧怕恐惧adj.可怕的可怖的
1509,dreadfu,a.可怕的；令人敬畏的
1510,dream,n.梦梦想vt. &vi.做梦想象
1511,dress,n.女服童装服装vt. &vi.穿著adj.正式的(衣服)
1512,drift,vi.漂流漂泊吹积n.漂流漂移漂流物观望吹积物趋势vt.使漂流把...吹积
1513,drill,n.钻头钻孔机钻子播种机操练vi.钻孔vt.训练钻孔
1514,drink,vt. &vi.饮喝喝酒n.饮料
1515,drip,vi.滴下漏水n.水滴滴点滴乏味的人
1516,drive,"vt. &vi.驾驶驱驱使驾进力打入n.驾车快车道推进力驱使路街,驱动器"
1517,driver,n.驾驶员司机
1518,drop,vt.使落下降低减少vi.落下减少减弱n.滴微量落下
1519,drought,n.旱灾，干旱
1520,drown,vi.淹死溺死vt.淹死沉浸于
1521,drug,n.药药物药材毒品vt.下药使...服麻醉药vi.吸毒
1522,drum,n.鼓鼓声鼓状物圆桶冰丘vi.击鼓作鼓声引起兴趣vt.召集入伍逐出(经过努力)推动...连续击打
1523,drunk,adj.醉的陶醉的vbl.喝喝酒
1524,dry,adj.干的干燥的干旱的不行于色的枯燥无味的无酒的口渴的vt.把...弄干vi.(使)变干
1525,dual,"a. 双重的,双的 n. 双数"
1526,dubious,"a. 可疑的,不确定的"
1527,duck,n.鸭雌鸭鸭肉板球零分vt.把…按入水中低头弯身(以免被打中或看见)躲避vi.迅速行进飞快行走(以免被看见)推委责任
1528,due,adj.预期的应给的到期的应有的预定的n.应得物
1529,dull,adj.枯燥的不鲜明的呆滞的迟钝的无趣的钝的暗的vt.使变钝vi.变钝
1530,dumb,adj.哑的无言的沉默的愚蠢的vt.使人沉默
1531,dump,vt.倾卸倾倒倾销丢弃抛售导出vi.骤降扔垃圾n.垃圾场堆放处
1532,duplicate,n.复制品 vt.复制
1533,durable,adj.耐久的耐用的n.(复)耐用品
